Title,Airdate,Rating,Votes,Description,Runtime,Genre,Certificate
"<a href=""/title/tt0877057/"">Death Note</a>","<span class=""lister-item-year text-muted unbold"">(2006–2007)</span>","<span class=""ipl-rating-star__rating"">9</span>","316,632","
An intelligent high school student goes on a secret crusade to eliminate criminals from the world after discovering a notebook capable of killing anyone whose name is written into it.","<span class=""runtime"">24 min</span>","<span class=""genre"">
Animation, Crime, Drama            </span>","<span class=""certificate"">TV-14</span>"
"<a href=""/title/tt2560140/"">Attack on Titan</a>","<span class=""lister-item-year text-muted unbold"">(2013–2023)</span>","<span class=""ipl-rating-star__rating"">0</span>","363,667","
After his hometown is destroyed and his mother is killed, young Eren Jaeger vows to cleanse the earth of the giant humanoid Titans that have brought humanity to the brink of extinction.","<span class=""runtime"">24 min</span>","<span class=""genre"">
Animation, Action, Adventure            </span>","<span class=""certificate"">TV-MA</span>"
"<a href=""/title/tt1355642/"">Fullmetal Alchemist: Brotherhood</a>","<span class=""lister-item-year text-muted unbold"">(2009–2010)</span>","<span class=""ipl-rating-star__rating"">Rate</span>","164,194","
Two brothers search for a Philosopher's Stone after an attempt to revive their deceased mother goes awry and leaves them in damaged physical forms.","<span class=""runtime"">24 min</span>","<span class=""genre"">
Animation, Action, Adventure            </span>","<span class=""certificate"">TV-14</span>"
"<a href=""/title/tt4508902/"">One Punch Man</a>","<span class=""lister-item-year text-muted unbold"">(2015–2019)</span>","<span class=""ipl-rating-star__rating"">1</span>","155,934","
The story of Saitama, a hero that does it just for fun & can defeat his enemies with a single punch.","<span class=""runtime"">24 min</span>","<span class=""genre"">
Animation, Action, Comedy            </span>","<span class=""certificate"">TV-PG</span>"
"<a href=""/title/tt0214341/"">Dragon Ball Z</a>","<span class=""lister-item-year text-muted unbold"">(1989–1996)</span>","<span class=""ipl-rating-star__rating"">Rate</span>","129,770","
With the help of the powerful Dragonballs, a team of fighters led by the saiyan warrior Goku defend the planet earth from extraterrestrial enemies.","<span class=""runtime"">24 min</span>","<span class=""genre"">
Animation, Action, Adventure            </span>","<span class=""certificate"">TV-PG</span>"
"<a href=""/title/tt0213338/"">Cowboy Bebop</a>","<span class=""lister-item-year text-muted unbold"">(1998–1999)</span>","<span class=""ipl-rating-star__rating"">2</span>","117,962","
The futuristic misadventures and tragedies of an easygoing bounty hunter and his partners.","<span class=""runtime"">24 min</span>","<span class=""genre"">
Animation, Action, Adventure            </span>","<span class=""certificate"">TV-14</span>"
"<a href=""/title/tt0988824/"">Naruto: Shippûden</a>","<span class=""lister-item-year text-muted unbold"">(2007–2017)</span>","<span class=""ipl-rating-star__rating"">Rate</span>","123,096","
Naruto Uzumaki, is a loud, hyperactive, adolescent ninja who constantly searches for approval and recognition, as well as to become Hokage, who is acknowledged as the leader and strongest of all ninja in the village.","<span class=""runtime"">24 min</span>","<span class=""genre"">
Animation, Action, Adventure            </span>","<span class=""certificate"">TV-PG</span>"
"<a href=""/title/tt0388629/"">One Piece</a>","<span class=""lister-item-year text-muted unbold"">(1999– )</span>","<span class=""ipl-rating-star__rating"">3</span>","121,578","
Follows the adventures of Monkey D. Luffy and his pirate crew in order to find the greatest treasure ever left by the legendary Pirate, Gold Roger. The famous mystery treasure named ""One Piece"".","<span class=""runtime"">24 min</span>","<span class=""genre"">
Animation, Action, Adventure            </span>","<span class=""certificate"">TV-14</span>"
"<a href=""/title/tt0409591/"">Naruto</a>","<span class=""lister-item-year text-muted unbold"">(2002–2007)</span>","<span class=""ipl-rating-star__rating"">Rate</span>","99,578","
Naruto Uzumaki, a mischievous adolescent ninja, struggles as he searches for recognition and dreams of becoming the Hokage, the village's leader and strongest ninja.","<span class=""runtime"">24 min</span>","<span class=""genre"">
Animation, Action, Adventure            </span>","<span class=""certificate"">TV-PG</span>"
"<a href=""/title/tt2098220/"">Hunter x Hunter</a>","<span class=""lister-item-year text-muted unbold"">(2011–2014)</span>","<span class=""ipl-rating-star__rating"">4</span>","96,126","
Gon Freecss aspires to become a Hunter, an exceptional being capable of greatness. With his friends and his potential, he seeks out his father, who left him when he was younger.","<span class=""runtime"">24 min</span>","<span class=""genre"">
Animation, Action, Adventure            </span>","<span class=""certificate"">TV-14</span>"
"<a href=""/title/tt0121220/"">Dragon Ball Z</a>","<span class=""lister-item-year text-muted unbold"">(1989–1996)</span>","<span class=""ipl-rating-star__rating"">Rate</span>","79,476","
The adventures of Earth's martial arts defender, Son Goku, continue with a new family and the revelation of his alien origins. Now Goku and his allies must defend the planet from an onslaught of new extraterrestrial enemies.","<span class=""runtime"">24 min</span>","<span class=""genre"">
Animation, Action, Adventure            </span>","<span class=""certificate"">TV-PG</span>"
"<a href=""/title/tt0421357/"">Fullmetal Alchemist</a>","<span class=""lister-item-year text-muted unbold"">(2003–2004)</span>","<span class=""ipl-rating-star__rating"">5</span>","70,610","
When a failed alchemical ritual leaves brothers Edward and Alphonse Elric with severely damaged bodies, they begin searching for the one thing that can save them: the fabled philosopher's stone.","<span class=""runtime"">24 min</span>","<span class=""genre"">
Animation, Action, Adventure            </span>","<span class=""certificate"">TV-PG</span>"
"<a href=""/title/tt0112159/"">Neon Genesis Evangelion</a>","<span class=""lister-item-year text-muted unbold"">(1995–1996)</span>","<span class=""ipl-rating-star__rating"">Rate</span>","68,666","
A teenage boy finds himself recruited as a member of an elite team of pilots by his father.","<span class=""runtime"">24 min</span>","<span class=""genre"">
Animation, Action, Drama            </span>","<span class=""certificate"">TV-MA</span>"
"<a href=""/title/tt0994314/"">Code Geass</a>","<span class=""lister-item-year text-muted unbold"">(2006–2008)</span>","<span class=""ipl-rating-star__rating"">6</span>","67,582","
After being given a mysterious power to control others, an outcast prince becomes the masked leader of the rebellion against an all-powerful empire.","<span class=""runtime"">24 min</span>","<span class=""genre"">
Animation, Action, Drama            </span>","<span class=""certificate"">TV-14</span>"
"<a href=""/title/tt9335498/"">Demon Slayer: Kimetsu no Yaiba</a>","<span class=""lister-item-year text-muted unbold"">(2019– )</span>","<span class=""ipl-rating-star__rating"">Rate</span>","98,201","
A family is attacked by demons and only two members survive - Tanjiro and his sister Nezuko, who is turning into a demon slowly. Tanjiro sets out to become a demon slayer to avenge his family and cure his sister.","<span class=""runtime"">24 min</span>","<span class=""genre"">
Animation, Action, Adventure            </span>","<span class=""certificate"">TV-MA</span>"
"<a href=""/title/tt0280249/"">Dragon Ball</a>","<span class=""lister-item-year text-muted unbold"">(1995–2003)</span>","<span class=""ipl-rating-star__rating"">7</span>","59,904","
Dragon Ball tells the tale of a young warrior by the name of Son Goku, a young peculiar boy with a tail who embarks on a quest to become stronger and learns of the Dragon Balls, when, once all 7 are gathered, grant any wish of choice.","<span class=""runtime"">24 min</span>","<span class=""genre"">
Animation, Action, Adventure            </span>","<span class=""certificate"">TV-14</span>"
"<a href=""/title/tt1910272/"">Steins;Gate</a>","<span class=""lister-item-year text-muted unbold"">(2011–2015)</span>","<span class=""ipl-rating-star__rating"">Rate</span>","61,226","
After discovering time travel, a university student and his colleagues must use their knowledge of it to stop an evil organization and their diabolical plans.","<span class=""runtime"">24 min</span>","<span class=""genre"">
Animation, Comedy, Drama            </span>","<span class=""certificate"">TV-14</span>"
